imdb_title_id,oscar_nominated_directors
tt0071394,1
tt0071524,1
tt0087966,0
tt0067620,0
tt0059653,0
tt0112777,0
tt0076716,0
tt0050087,0
tt0004134,0
tt0115726,0
tt0081517,0
tt0064990,0
tt0059942,0
tt0094963,0
tt0038480,0
tt0093405,0
tt0111248,0
tt0095421,0
tt0069385,0
tt0089808,0
tt0026973,0
tt0038381,0
tt0035074,0
tt0023737,0
tt0093207,0
tt0096911,0
tt0034411,0
tt0031005,0
tt0109765,0
tt0084898,0
tt0037384,0
tt0042795,0
tt0042182,0
tt0093922,0
tt0087718,0
tt0107479,0
tt0102258,0
tt0117496,0
tt0093214,0
tt0095270,0
tt0028433,0
tt0076441,0
tt0042769,0
tt0100101,0
tt0052961,0
tt0114550,0
tt0069957,0
tt0027688,0
tt0097584,0
tt0057532,0
tt0045317,0
tt0058281,0
tt0040723,0
tt0021707,0
tt0066950,0
tt0115727,0
tt0023790,0
tt0100365,0
tt0037426,0
tt0030226,0
tt0037820,1
tt0046800,0
tt0097809,0
tt0016220,0
tt0069249,0
tt0044480,0
tt0047877,0
tt0046921,0
tt0109520,0
tt0096487,0
tt0065809,0
tt0052046,0
tt0059885,1
tt0024992,0
tt0014760,0
tt0083625,0
tt0096241,0
tt0011415,0
tt0024139,1
tt0043012,1
tt0095173,0
tt0067667,0
tt0099342,0
tt0049279,0
tt0111835,0
tt0028400,0
tt0059143,0
tt0016545,0
tt0026280,0
tt0093777,0
tt0051175,0
tt0071793,0
tt0055759,0
tt0031612,1
tt0041506,0
tt0054355,0
tt0033553,0
tt0067983,0
tt0052745,0
tt0033432,0
tt0063824,0
tt0093347,0
tt0041149,0
tt0042411,0
tt0059710,0
tt0053720,0
tt0101276,0
tt0066862,0
tt0066393,0
tt0077631,0
tt0037261,0
tt0038606,0
tt0025841,0
tt0082111,1
tt0061576,0
tt0066475,0
tt0063584,0
tt0025903,0
tt0046223,0
tt0075147,0
tt0034405,1
tt0057465,0
tt0095448,0
tt0050325,0
tt0117039,1
tt0043833,0
tt0056424,0
tt0054346,0
tt0028478,1
tt0116629,0
tt0068870,0
tt0067010,0
tt0089427,0
tt0085937,0
tt0080054,0
tt0073109,0
tt0112628,0
tt0093185,0
tt0066445,1
tt0025442,1
tt0091681,0
tt0101733,0
tt0053855,0
tt0033458,0
tt0079376,0
tt0061783,0
tt0073713,0
tt0051478,0
tt0032312,0
tt0065874,0
tt0034094,0
tt0081349,0
tt0040887,0
tt0049094,0
tt0034389,0
tt0076836,0
tt0105789,0
tt0108185,0
tt0073091,0
tt0052263,0
tt0051697,0
tt0055331,0
tt0102283,0
tt0048517,0
tt0097737,0
tt0032017,1
tt0112379,0
tt0098224,0
tt0102701,0
tt0114121,0
tt0051636,0
tt0047466,0
tt0061015,1
tt0045202,0
tt0046057,0
tt0106714,0
tt0051742,1
tt0100511,0
tt0048347,1
tt0034883,0
tt0045020,0
tt0033375,0
tt0100699,0
tt0046461,0
tt0024868,0
tt0078935,0
tt0075200,0
tt0054494,0
tt0059291,0
tt0074455,0
tt0075008,0
tt0045123,0
tt0019098,1
tt0090769,0
tt0080110,0
tt0117662,0
tt0076518,0
tt0058930,0
tt0020499,1
tt0099601,0
tt0054462,0
tt0072074,1
tt0065089,0
tt0036835,0
tt0113364,0
tt0090969,0
tt0079417,0
tt0080373,0
tt0107427,0
tt0080790,1
tt0055992,0
tt0036009,0
tt0057872,0
tt0108429,0
tt0032284,1
tt0061448,0
tt0083894,0
tt0052724,0
tt0066980,0
tt0052786,0
tt0102803,0
tt0100771,0
tt0097814,0
tt0069952,0
tt0093831,0
tt0057358,1
tt0069489,0
tt0073945,0
tt0100142,0
tt0040064,1
tt0059678,1
tt0067357,0
tt0093176,0
tt0099440,0
tt0078026,0
tt0047085,0
tt0072886,1
tt0095922,0
tt0115801,0
tt0096131,0
tt0101489,0
tt0043417,0
tt0105151,1
tt0098234,0
tt0106451,0
tt0093467,0
tt0022799,0
tt0097332,0
tt0112744,1
tt0054379,0
tt0049208,0
tt0073393,0
tt0039337,1
tt0039847,0
tt0025969,0
tt0071913,0
tt0100114,0
tt0095236,0
tt0070337,0
tt0047630,0
tt0062358,0
tt0041796,0
tt0024405,0
tt0087635,0
tt0037094,0
tt0061636,0
tt0065582,0
tt0061780,1
tt0105507,0
tt0049103,0
tt0078318,0
tt0078243,0
tt0042923,0
tt0042397,0
tt0084867,0
tt0115744,0
tt0074477,0
tt0065604,0
tt0099277,0
tt0097836,0
tt0051525,1
tt0097742,0
tt0072125,0
tt0060310,0
tt0043127,0
tt0058522,0
tt0101874,0
tt0041352,0
tt0112637,0
tt0081757,0
tt0069807,0
tt0097202,0
tt0063840,0
tt0074452,1
tt0046397,0
tt0082118,0
tt0039881,0
tt0091032,0
tt0089231,0
tt0088175,0
tt0060574,0
tt0048077,0
tt0112285,0
tt0089496,0
tt0100786,0
tt0059434,0
tt0111140,0
tt0064911,0
tt0048705,1
tt0045891,1
tt0117762,0
tt0044985,0
tt0095382,0
tt0107364,0
tt0072105,0
tt0075030,0
tt0074701,0
tt0089160,1
tt0023450,0
tt0056496,0
tt0060531,0
tt0018362,0
tt0075848,0
tt0106834,0
tt0039441,0
tt0095037,0
tt0086654,0
tt0084104,0
